,speaker,sentence
0,CHAIR POWELL,Good afternoon.
1,CHAIR POWELL,"Before discussing today’s meeting, let me comment briefly on recent developments in the banking sector."
2,CHAIR POWELL,"Conditions in that sector have broadly improved since early March, and the U.S banking system is sound and resilient."
3,CHAIR POWELL,We will continue to monitor conditions in the sector.
4,CHAIR POWELL,We are committed to learning the right lessons from this episode and will work to prevent events like these from happening again.
5,CHAIR POWELL,"As a first step in that process, last week we released Vice Chair for Supervision Barr’s Review of the Federal Reserve’s Supervision and Regulation of Silicon Valley Bank."
6,CHAIR POWELL,"The review’s findings underscore the need to address our rules and supervisory practices to make for a stronger and more resilient banking system, and I am confident that we will do so."
7,CHAIR POWELL,"From the perspective of monetary policy, our focus remains squarely on our dual mandate to promote maximum employment and stable prices for the American people."
8,CHAIR POWELL,"My colleagues and I understand the hardship that high inflation is causing, and we remain strongly committed to bringing inflation back down to our 2 percent goal."
9,CHAIR POWELL,Price stability is the responsibility of the Federal Reserve.
10,CHAIR POWELL,"Without price stability, the economy does not work for anyone."
11,CHAIR POWELL,"In particular, without price stability, we will not achieve a sustained period of strong labor market conditions that benefit all."
12,CHAIR POWELL,"Today, the FOMC raised its policy interest rate by ¼ percentage point."
13,CHAIR POWELL,"Since early last year, we have raised interest rates by a total of 5 percentage points in order to attain a stance of monetary policy that is sufficiently restrictive to return inflation to 2 percent over time."
14,CHAIR POWELL,We are also continuing to reduce our securities holdings.
15,CHAIR POWELL,"Looking ahead, we will take a data-dependent approach in determining the extent to which additional policy firming may be appropriate."
16,CHAIR POWELL,"I will May 3, 2023 have more to say about today’s monetary policy actions after briefly reviewing economic Chair Powell’s Press Conference FINAL developments."
17,CHAIR POWELL,"The U.S. economy slowed significantly last year, with real GDP rising at a below-trend pace of 0.9 percent."
18,CHAIR POWELL,"The pace of economic growth in the first quarter of this year continued to be modest, at 1.1 percent, despite a pickup in consumer spending."
19,CHAIR POWELL,"Activity in the housing sector remains weak, largely reflecting higher mortgage, mortgage rates."
20,CHAIR POWELL,Higher interest rates and slower output growth also appear to be weighing on business fixed investment.
21,CHAIR POWELL,The labor market remains very tight.
22,CHAIR POWELL,"Over the first three months of the year, job gains averaged 345,000 jobs per month."
23,CHAIR POWELL,"The unemployment rate remained very low in March, at 3.5 percent."
24,CHAIR POWELL,"Even so, there are some signs that supply and demand in the labor market are coming back into better balance."
25,CHAIR POWELL,"The labor force participation rate has moved up in recent months, particularly for individuals aged 25 to 54 years."
26,CHAIR POWELL,"Nominal wage growth has sown—shown some signs of easing, and job vacancies have declined so far this year."
27,CHAIR POWELL,"But overall, labor demand still substantially exceeds the supply of available workers."
28,CHAIR POWELL,Inflation remains well above our longer-run goal of 2 percent.
29,CHAIR POWELL,"Over the 12 months ending in March, total PCE prices rose 4.2 percent; excluding the volatile food and energy categories, core PCE prices rose 4.6 percent."
30,CHAIR POWELL,Inflation has moderated somewhat since the middle of last year.
31,CHAIR POWELL,"Nonetheless, inflation pressures continue to run high, and the process of getting inflation back down to 2 percent has a long way to go."
32,CHAIR POWELL,"Despite elevated inflation, longer-term inflation expectations appear to remain well anchored, as reflected in a broad range of surveys of households, businesses, and forecasters, as well as measures from financial markets."
33,CHAIR POWELL,"The Fed’s monetary policy actions are guided by, by our mandate to promote maximum employment and stable prices for the American people."
34,CHAIR POWELL,"My colleagues and I are acutely aware May 3, 2023 that high inflation imposes significant hardship, as it erodes purchasing power, especially for Chair Powell’s Press Conference FINAL those least able to meet the higher costs of essentials like food, housing, and transportation."
35,CHAIR POWELL,"We are highly attentive to the risks that high inflation pose—poses to both sides of our mandate, and we are strongly committed to returning inflation to our 2 percent objective."
36,CHAIR POWELL,"At today’s meeting, the Committee raised the target range for the federal funds rate by ¼ percentage point, bringing the target range to 5 to 5¼ percent."
37,CHAIR POWELL,And we’re continuing to [carry out] the process of significantly reducing our securities holdings.
38,CHAIR POWELL,"With today’s action, we have raised interest rates by 5 percentage points in a little more than a year."
39,CHAIR POWELL,"We are seeing the effects of our policy tightening on demand in the most interest rate–sensitive sectors of the economy, particularly housing and investment."
40,CHAIR POWELL,"It will take time, however, for the full effects of monetary restraint to be realized, especially on inflation."
41,CHAIR POWELL,"In addition, the economy is likely to face further headwinds from tighter credit conditions."
42,CHAIR POWELL,Credit conditions had already been tightening over the past year or so in response to our policy actions and a softer economic outlook.
43,CHAIR POWELL,But the strains that emerged in the banking sector in early March appear to be resulting in even tighter credit conditions for households and businesses.
44,CHAIR POWELL,"In turn, these tighter credit conditions are likely to weigh on economic activity, hiring, and inflation."
45,CHAIR POWELL,The extent of these effects remains uncertain.
46,CHAIR POWELL,"In light of these uncertain headwinds, along with the monetary policy restraint we have put in place, our future policy actions will depend on how events unfold."
47,CHAIR POWELL,"In determining the extent to which additional policy firming may be appropriate to return inflation to 2 percent over time, the Committee will take into account the cumulative tightening of monetary policy, the lags with which monetary policy affects economic activity and inflation, and economic and financial developments."
48,CHAIR POWELL,"We, we will make that determination meeting by meeting, based on the totality of May 3, 2023 incoming data and their implications for the outlook for economic activity and inflation."
49,CHAIR POWELL,And we Chair Powell’s Press Conference FINAL are prepared to do more if greater monetary policy restraint is warranted.
50,CHAIR POWELL,We remain committed to bringing inflation back down to our 2 percent goal and to keep longer-term inflation expectations well anchored.
51,CHAIR POWELL,Reducing inflation is likely to require a period of below-trend growth and some softening of labor market conditions.
52,CHAIR POWELL,Restoring price stability is essential to set the stage for achieving maximum employment and stable prices over the longer run.
53,CHAIR POWELL,"To conclude: We understand that our actions affect communities, families, and businesses across the country."
54,CHAIR POWELL,Everything we do is in service to our public mission.
55,CHAIR POWELL,We at the Fed will do everything we can to achieve our maximum-employment and price-stability goals.
56,CHAIR POWELL,Thank you.
57,CHAIR POWELL,I look forward to your questions.
58,MICHELLE SMITH,Thanks.
59,MICHELLE SMITH,Jeanna.
60,JEANNA SMIALEK,Hi.
61,JEANNA SMIALEK,"Jeanna Smialek, New York Times."
62,JEANNA SMIALEK,Thanks for taking our questions.
63,JEANNA SMIALEK,I wonder if you could tell us whether we should read the statement today as a suggestion that the Committee is prepared to pause interest rate increases in June.
64,JEANNA SMIALEK,"And I also wonder if the Fed staff has in any way revised their forecast for a mild recession from the March minutes and, if so, what a recession like what they’re envisioning would look and feel like when it comes to, for example, the unemployment rate."
65,CHAIR POWELL,"So, taking your question—of course, today our decision was to raise the federal funds rate by 25 basis points."
66,CHAIR POWELL,"A, a decision on a pause was not made today."
67,CHAIR POWELL,"You will have noticed that in the—in the statement from March, we had a sentence that said the Committee anticipates that some additional policy firming may be appropriate."
68,CHAIR POWELL,"That sentence is, is not in, in the statement anymore."
69,CHAIR POWELL,"We took that out, and instead we’re saying that, in May 3, 2023 determining the extent to which additional policy firming may be appropriate to return inflation Chair Powell’s Press Conference FINAL to 2 percent over time, the Committee will take into account certain factors."
70,CHAIR POWELL,So we—that’s a—that’s a meaningful change that we’re no longer saying that we anticipate.
71,CHAIR POWELL,And so we’ll be driven by incoming data meeting by meeting.
72,CHAIR POWELL,"And, you know, we’ll approach that question at the June meeting."
73,CHAIR POWELL,"So the—the staff’s forecast is—so let me say—start by saying that that’s not my own most likely case, which is really that, that the economy will continue to grow at, at a modest rate this year."
74,CHAIR POWELL,And I think that’s—so different people on the Committee have different forecasts.
75,CHAIR POWELL,"That’s, that’s my own assessment of the most likely path."
